               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
146,0.022878,0.0066358,0.0015064,0.0310202,0.62281,0.6417,0.67017,0.31281,0.032327,0.0083403,0.0066968,0.003475,0.003475,0.003475
147,0.022317,0.0064392,0.0014315,0.0301877,0.54946,0.55931,0.6071,0.28333,0.032616,0.0087191,0.00464,0.00343,0.00343,0.00343
148,0.023146,0.0061569,0.0012112,0.0305141,0.61671,0.58644,0.66919,0.32017,0.033137,0.0085646,0.0055523,0.003385,0.003385,0.003385
149,0.023334,0.0064838,0.0015335,0.0313513,0.56833,0.66994,0.71197,0.31972,0.032964,0.00842,0.005104,0.00334,0.00334,0.00334
150,0.022313,0.0065995,0.0014291,0.0303416,0.71201,0.65527,0.70482,0.30054,0.032776,0.0081861,0.0049677,0.003295,0.003295,0.003295
151,0.022339,0.0063983,0.0013189,0.0300562,0.66984,0.65467,0.67788,0.3202,0.033452,0.0081724,0.0051693,0.00325,0.00325,0.00325
152,0.021903,0.0066871,0.0013721,0.0299622,0.73475,0.65027,0.65231,0.31336,0.033367,0.0080839,0.0054612,0.003205,0.003205,0.003205
153,0.022366,0.0066906,0.001385,0.0304416,0.60593,0.52389,0.5811,0.2647,0.032754,0.0088598,0.0066575,0.00316,0.00316,0.00316
154,0.022779,0.006412,0.0016164,0.0308074,0.63328,0.62298,0.6996,0.33281,0.031238,0.00853,0.0052114,0.003115,0.003115,0.003115
155,0.022003,0.0062263,0.001288,0.0295173,0.66438,0.6359,0.67276,0.30827,0.033069,0.008447,0.0033907,0.00307,0.00307,0.00307
156,0.023077,0.0066649,0.00136,0.0311019,0.61501,0.51276,0.58031,0.28856,0.034214,0.0090521,0.0056054,0.003025,0.003025,0.003025
157,0.022713,0.0062927,0.0014583,0.030464,0.65243,0.51045,0.65464,0.30255,0.03301,0.0089462,0.0037237,0.00298,0.00298,0.00298
